ExperimentID,SystemName,TextNumber,UserID,Event,Timestamp
0_VoiceGaze_123456654_30-05-2021,VoiceGaze,0,123456654,NewExperiment,2021-05-30 14:38:05
0_VoiceGaze_123456654_30-05-2021,VoiceGaze,0,123456654,EndExperiment,2021-05-30 14:39:57
1_VoiceGaze_123456654_30-05-2021,VoiceGaze,1,123456654,NewExperiment,2021-05-30 14:40:11
1_VoiceGaze_123456654_30-05-2021,VoiceGaze,1,123456654,EndExperiment,2021-05-30 14:41:46
2_VoiceGaze_123456654_30-05-2021,VoiceGaze,2,123456654,NewExperiment,2021-05-30 14:42:07
2_VoiceGaze_123456654_30-05-2021,VoiceGaze,2,123456654,EndExperiment,2021-05-30 14:43:40
3_VoiceGaze_123456654_30-05-2021,VoiceGaze,3,123456654,NewExperiment,2021-05-30 14:44:00
3_VoiceGaze_123456654_30-05-2021,VoiceGaze,3,123456654,EndExperiment,2021-05-30 14:45:33
